Asset,Quote,Provider,Adapter Name,Adapter,Base,Quote,Whitelist
WSTETH,WETH,Chainlink,Chainlink_WSTETH/STETH_EXCHANGE_RATE,0x9d7BB1b8b82A7C2409aE9d1133700e4e7Ea34ffE,0xB5beDd42000b71FddE22D3eE8a79Bd49A568fC8F,0xe5D7C2a44FfDDf6b295A15c148167daaAf5Cf34f,Yes
WEETH,WETH,Chainlink,Chainlink_WEETH/EETH_EXCHANGE_RATE,0x2A00BA96A1779a3bCfB728906b22D1145ABCD659,0x1Bf74C010E6320bab11e2e5A532b5AC15e0b8aA6,0xe5D7C2a44FfDDf6b295A15c148167daaAf5Cf34f,Yes
EZETH,WETH,Chainlink,Chainlink_EZETH/ETH_EXCHANGE_RATE,0xBb91e02922ab31F17554BEFA65a581CE0EDE32eD,0x2416092f143378750bb29b79eD961ab195CcEea5,0xe5D7C2a44FfDDf6b295A15c148167daaAf5Cf34f,Yes
WRSETH,RSETH,Chainlink,Chainlink_WRSETH/RSETH_EXCHANGE_RATE,0x1F5790575381A560924518C959430Eb262771CC4,0xD2671165570f41BBB3B0097893300b6EB6101E6C,0x4186BFC76E2E237523CBC30FD220FE055156b41F,Yes
RSETH,ETH,Chainlink,Chainlink_RSETH/ETH,0x18a76F36B2BD425f6fdEb2bd014d9774F1A5968A,0x4186BFC76E2E237523CBC30FD220FE055156b41F,0xe5D7C2a44FfDDf6b295A15c148167daaAf5Cf34f,Yes
WRSETH,ETH,Cross,Cross_RSETH/ETH,0xB23fc49c0eA1BcD360c21EE1e31472e2b30D9524,0x1F5790575381A560924518C959430Eb262771CC4,0xe5D7C2a44FfDDf6b295A15c148167daaAf5Cf34f,Yes
USDC,USD,Chainlink,Chainlink_USDC/USD,0xa3bD3CfF3B3deB0D76493769244470423850d5e7,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,0x0000000000000000000000000000000000000348,Yes
USDT,USD,Chainlink,Chainlink_USDT/USD,0x809777f7C360c91f714Ef5E3EdC6232088f5B575,0xA219439258ca9da29E9Cc4cE5596924745e12B93,0x0000000000000000000000000000000000000348,Yes
WBTC,USD,Chainlink,Chainlink_WBTC/USD,0x111edb28Fae7FAeFf9cBCFD060b30A7d0CCC4edf,0x3aAB2285ddcDdaD8edf438C1bAB47e1a9D05a9b4,0x0000000000000000000000000000000000000348,Yes
WETH,USD,Chainlink,Chainlink_WETH/USD,0x4c35d57C745e30EfC57472659f52974913C569bf,0xe5D7C2a44FfDDf6b295A15c148167daaAf5Cf34f,0x0000000000000000000000000000000000000348,Yes
