Asset,Quote,Provider,Adapter Name,Adapter,Base,Quote,Whitelist
CBETH,USD,Chainlink,Chainlink_CBETH/USD,0x1dddbAf806FFBA939fefD238a132652D8D9DC2B5,0x2ae3f1ec7f1f5012cfeab0185bfc7aa3cf0dec22,0x0000000000000000000000000000000000000348,Yes
CBETH,ETH_EXCHANGE_RATE,Chainlink,Chainlink_CBETH/ETH_EXCHANGE_RATE,0x1f00Cc333ccdCD1B8a9809D859338218d7ABC52b,0x2ae3f1ec7f1f5012cfeab0185bfc7aa3cf0dec22,0x4200000000000000000000000000000000000006,Yes
ETH,USD,Chainlink,Chainlink_ETH/USD,0xeCa05CC73e67c344d5B146311B13ddB75F7fE4E4,0x4200000000000000000000000000000000000006,0x0000000000000000000000000000000000000348,Yes
EURC,USD,Chainlink,Chainlink_EURC/USD,0x135F90Fc55280c049429F0f28d6Fdb3A0479bdA2,0x60a3E35Cc302bFA44Cb288Bc5a4F316Fdb1adb42,0x0000000000000000000000000000000000000348,Yes
USDC,USD,Chainlink,Chainlink_USDC/USD,0x5C9d3504d64B401BE0E6fDA1b7970e2f5FF75485,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x0000000000000000000000000000000000000348,Yes
WSTETH,STETH_EXCHANGE_RATE,Chainlink,Chainlink_WSTETH/STETH_EXCHANGE_RATE,0xE83AE1484c2f421FBBc1820C4b9f79b6b3431970,0xc1cba3fcea344f92d9239c08c0568f6f2f0ee452,0x4200000000000000000000000000000000000006,Yes
CBETH,USD,Chronicle,Chronicle_CBETH/USD,0x59FbC622F1130a5A939b883f5708613d91b2870f,0x2ae3f1ec7f1f5012cfeab0185bfc7aa3cf0dec22,0x0000000000000000000000000000000000000348,Yes
ETH,USD,Chronicle,Chronicle_ETH/USD,0x03eCA93727e268FcA65baea35912014B6F446142,0x4200000000000000000000000000000000000006,0x0000000000000000000000000000000000000348,Yes
USDC,USD,Chronicle,Chronicle_USDC/USD,0xa73E4A743135c16A36CfC746699d7F53bb00aA7a,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x0000000000000000000000000000000000000348,Yes
WSTETH,USD,Chronicle,Chronicle_WSTETH/USD,0xe7bc2e0dBb7E1B4E4A4cf50651A8c1412b397B9e,0xc1cba3fcea344f92d9239c08c0568f6f2f0ee452,0x0000000000000000000000000000000000000348,Yes
CBBTC,USDC,Chronicle,Chronicle_CBBTC/USDC,0x6f3621dF5c5e33e6F1e82Fc11999777E08A1a2A7,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,No
CBETH,USD,Pyth,Pyth_CBETH/USD,0x49f6E54E6a725B5B9E0033795fDeaE0a271161CA,0x2ae3f1ec7f1f5012cfeab0185bfc7aa3cf0dec22,0x0000000000000000000000000000000000000348,Yes
ETH,USD,Pyth,Pyth_ETH/USD,0x6366B3500564f0077c59D5fbDd6aeb3c9Ee5f3cf,0x4200000000000000000000000000000000000006,0x0000000000000000000000000000000000000348,Yes
EURC,USD,Pyth,Pyth_EURC/USD,0x34718C5519dfc2d2dFD9cd151410D8b0578c83B9,0x60a3E35Cc302bFA44Cb288Bc5a4F316Fdb1adb42,0x0000000000000000000000000000000000000348,Yes
USDC,USD,Pyth,Pyth_USDC/USD,0x963919A10E2FB623010db2a4AeAF752b7F5F90a4,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x0000000000000000000000000000000000000348,Yes
WSTETH,USD,Pyth,Pyth_WSTETH/USD,0x0F2B82f36468CcC81bA30CBFdAb2E9a078aBB95B,0xc1cba3fcea344f92d9239c08c0568f6f2f0ee452,0x0000000000000000000000000000000000000348,Yes
CBETH,USD,Cross,Cross_CBETH/USD=Chainlink_CBETH/ETH_EXCHANGE_RATE+Chainlink_ETH/USD,0x97F8e80d0E9782eceacee7A0374D1d57CBfDe712,0x2ae3f1ec7f1f5012cfeab0185bfc7aa3cf0dec22,0x0000000000000000000000000000000000000348,Yes
WSTETH,USD,Cross,Cross_WSTETH/USD=Chainlink_WSTETH/STETH_EXCHANGE_RATE+Chainlink_ETH/USD,0xd98feD83755815d33ff25Cf7639C627C5b08fB98,0xc1cba3fcea344f92d9239c08c0568f6f2f0ee452,0x0000000000000000000000000000000000000348,Yes
CBBTC,USD,Cross,Cross_CBBTC/USD=Chronicle_CBBTC/USDC+Chronicle_USDC/USD,0x1714A15c78A2E65846cbAd4D2c223c810597b7b6,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,0x0000000000000000000000000000000000000348,Yes
