Asset,Quote,Provider,Adapter Name,Adapter,Base,Quote,Whitelist
ETH,USD,Chainlink,Chainlink_ETH/USD,0x31BF69f94440bFE53A484196875D5330FDb181f5,0x9895D81bB462A195b4922ED7De0e3ACD007c32CB,0x0000000000000000000000000000000000000348,Yes
USDT0,USD,Chainlink,Chainlink_USDT0/USD,0x3541a516288f04bA8eea256B9cF32388F1733C83,0xB8CE59FC3717ada4C02eaDF9682A9e934F625ebb,0x0000000000000000000000000000000000000348,Yes
XAUT0,USD,Chainlink,Chainlink_XAUT0/USD,0x20bcf29622B5239EEEe752E6959fC9b31201Aa42,0x1B64B9025EEbb9A6239575dF9Ea4b9Ac46D4d193,0x0000000000000000000000000000000000000348,Yes
USDe,USD,Chainlink,Chainlink_USDe/USD,0x0C60F630608a1406f5B049093B25032598b3DC4A,0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34,0x0000000000000000000000000000000000000348,Yes
sUSDe,USD,Chainlink,Chainlink_sUSDe/USD,0xBB6c58CF5Cb0FFd1a1aCbb2B3b482015Dba07A1F,0x211Cc4DD073734dA055fbF44a2b4667d5E5fE5d2,0x0000000000000000000000000000000000000348,Yes
WEETH,USD,Chainlink,Chainlink_WEETH/USD,0xEd6BCB3d0aa98a3635ceA0f2aC8F5DF897941552,0xA3D68b74bF0528fdD07263c60d6488749044914b,0x0000000000000000000000000000000000000348,YesUSDT0,USD,Fixed Rate,FixedRate_USDT0/USD,0xE8947CFd3f04E686741F7Dd9023ec0C78588fd33,0xB8CE59FC3717ada4C02eaDF9682A9e934F625ebb,0x0000000000000000000000000000000000000348,No
USDe,USD,Fixed Rate,FixedRate_USDe/USD,0x59E8BD99802F4EB774dFfE2BE2bEC38Ad08d6c16,0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34,0x0000000000000000000000000000000000000348,No
USDT0,USD,Fixed Rate,FixedRate_USDT0/USD,0x289e5901a38da333C854C41bE9BEF8CE3933ECac,0xB8CE59FC3717ada4C02eaDF9682A9e934F625ebb,0x0000000000000000000000000000000000000348,Yes
USDai,USD,Fixed Rate,FixedRate_USDai/USD,0x18a8969aC4c07c8a18e17a099C917BeC3810A091,0x0A1a1A107E45b7Ced86833863f482BC5f4ed82EF,0x0000000000000000000000000000000000000348,Yes
syrupUSDT,USDT,Chainlink,Chainlink_syrupUSDT/USDT,0xFc86d1a7c8CF37Fc1cb27BcaAA218cf93Bf4985d,0xC4374775489CB9C56003BF2C9b12495fC64F0771,0xB8CE59FC3717ada4C02eaDF9682A9e934F625ebb,Yes
syrupUSDT,USD,Cross,Cross_syrupUSDT/USD=Chainlink_syrupUSDT/USDT+FixedRate_USDT0/USD,0x6886246cC3164C2D08522dC8D14aab355b316fA1,0xC4374775489CB9C56003BF2C9b12495fC64F0771,0x0000000000000000000000000000000000000348,Yes
USR,USD,Chainlink,Chainlink_USR/USD,0xe808f79a516868D6eAE6dc84863FdF383C88B04E,0xb1b385542B6E80F77B94393Ba8342c3Af699f15c,0x0000000000000000000000000000000000000348,Yes
USR_FUNDAMENTAL,USD,Chainlink,Chainlink_USR_FUNDAMENTAL/USD,0x7b7D06316E4764749375603955C5195401c17832,0xb1b385542B6E80F77B94393Ba8342c3Af699f15c,0x0000000000000000000000000000000000000348,Yes
RLP_FUNDAMENTAL,USD,Chainlink,Chainlink_RLP_FUNDAMENTAL/USD,0x7D9Db6f09D48EA484FE1A7d981e1bE2f93aCA43A,0x35533f54740F1F1aA4179E57bA37039dfa16868B,0x0000000000000000000000000000000000000348,Yes
WSTUSR,USR_FUNDAMENTAL,Chainlink,Chainlink_WSTUSR/USR_FUNDAMENTAL,0x9e8F95254332519124cC43549124ECeDD8826b88,0x2a52B289bA68bBd02676640aA9F605700c9e5699,0xb1b385542B6E80F77B94393Ba8342c3Af699f15c,Yes
WSTUSR,USD,Cross,Cross_WSTUSR/USD=Chainlink_WSTUSR/USR_FUNDAMENTAL+Chainlink_USR_FUNDAMENTAL/USD,0xa38Ad00F1F4d49D667233935B055C22900d9066E,0x2a52B289bA68bBd02676640aA9F605700c9e5699,0x0000000000000000000000000000000000000348,Yes
sUSDai_FUNDAMENTAL,USDai,Chainlink,Chainlink_sUSDai_FUNDAMENTAL/USDai,0x657dc306282291423dC5dfaF80AE8C842513B06D,0x0B2b2B2076d95dda7817e785989fE353fe955ef9,0x0A1a1A107E45b7Ced86833863f482BC5f4ed82EF,Yes
sUSDai,USD,Cross,Cross_sUSDai/USD=Chainlink_sUSDai_FUNDAMENTAL/USDai+FixedRate_USDai/USD,0x13d830B7A5402C54744Def5445DB0dc9aBBD2233,0x0B2b2B2076d95dda7817e785989fE353fe955ef9,0x0000000000000000000000000000000000000348,Yes
sUSDe_FUNDAMENTAL,USDe,Chainlink,Chainlink_sUSDe_FUNDAMENTAL/USDe,0x5b472D42AC8D5ccD812Fb7E9a4D7E32a1083a3E1,0x211Cc4DD073734dA055fbF44a2b4667d5E5fE5d2,0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34,Yes
sUSDe,USD,Cross,Cross_sUSDe/USD=Chainlink_sUSDe_FUNDAMENTAL/USDe+FixedRate_USDe/USD,0x386B523Db1dF3ca4699623EC0962075c92B320FB,0x211Cc4DD073734dA055fbF44a2b4667d5E5fE5d2,0x0000000000000000000000000000000000000348,Yes
ENA,USD,Chainlink,Chainlink_ENA/USD,0xad8bA4cB64692b0584E775Ab406cf16CCBCa1E3F,0x58538e6A46E07434d7E7375Bc268D3cb839C0133,0x0000000000000000000000000000000000000348,Yes
WXPL,USD,Chainlink,Chainlink_WXPL/USD,0x006cd100e2516ab544DBb49471f7f9334516027e,0x6100E367285b01F48D07953803A2d8dCA5D19873,0x0000000000000000000000000000000000000348,Yes
